Unnamed: 0,Province or State,City,Latitude,Longitude,Postal code,Education,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Income_Class,CustomerTenure,Active_Client
10516,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Bachelor,28519.0,Married,Star,2019-07-29,2021-12-31,2432.96,Standard,Non-Zero Income,886,Active
10517,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,College,0.0,Single,Star,2017-11-07,2021-12-31,2433.02,Standard,Zero Income,1515,Active
10518,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Single,Star,2021-04-26,2021-12-31,2433.02,2021 Promotion,Zero Income,249,Active
10519,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,College,0.0,Divorced,Star,2020-07-23,2021-12-31,2433.09,Standard,Zero Income,526,Active
10520,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,College,0.0,Divorced,Star,2019-12-24,2021-12-31,2433.09,Standard,Zero Income,738,Active
10521,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Bachelor,23737.0,Married,Star,2020-11-27,2021-12-31,2433.21,Standard,Non-Zero Income,399,Active
10522,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Bachelor,23737.0,Married,Star,2019-04-28,2021-12-31,2433.21,Standard,Non-Zero Income,978,Active
10523,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,College,0.0,Single,Star,2017-02-28,2021-12-31,2433.91,Standard,Zero Income,1767,Active
10524,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,College,0.0,Single,Star,2018-12-13,2021-09-13,2433.91,Standard,Zero Income,1005,Inactive
10525,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,23033.0,Married,Star,2020-08-28,2021-12-31,2434.0,Standard,Non-Zero Income,490,Active
10526,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Bachelor,23033.0,Married,Star,2017-07-03,2021-12-31,2434.0,Standard,Non-Zero Income,1642,Active
10527,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,College,0.0,Married,Star,2019-01-02,2021-12-31,2434.09,Standard,Zero Income,1094,Active
10528,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,College,0.0,Married,Star,2016-02-08,2021-12-31,2434.09,Standard,Zero Income,2153,Active
10529,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,96045.0,Divorced,Star,2020-05-30,2021-12-31,2434.68,Standard,Non-Zero Income,580,Active
10530,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,96045.0,Divorced,Star,2021-01-21,2021-12-31,2434.68,Standard,Non-Zero Income,344,Active
10531,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Married,Star,2016-12-29,2021-12-31,2434.85,2021 Promotion,Zero Income,1828,Active
10532,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,College,0.0,Married,Star,2016-09-13,2021-12-31,2434.85,Standard,Zero Income,1935,Active
10533,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,64341.0,Single,Star,2019-07-02,2021-12-31,2435.15,Standard,Non-Zero Income,913,Active
10534,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,64341.0,Single,Star,2018-10-22,2021-12-31,2435.15,Standard,Non-Zero Income,1166,Active
10535,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,College,0.0,Divorced,Star,2020-05-21,2021-12-31,2435.25,Standard,Zero Income,589,Active
10536,Ontario,Ottawa,45.421532,-75.697189,K1G 4Z0,Bachelor,43721.0,Married,Star,2021-07-27,2021-12-31,2435.32,Standard,Non-Zero Income,157,Active
10537,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,40921.0,Married,Star,2020-08-31,2021-12-31,2435.54,Standard,Non-Zero Income,487,Active
10538,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,40921.0,Married,Star,2015-12-13,2021-12-31,2435.54,Standard,Non-Zero Income,2210,Active
10539,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Doctor,25703.0,Married,Star,2016-10-05,2021-12-31,2435.62,Standard,Non-Zero Income,1913,Active
10540,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Doctor,25703.0,Married,Star,2017-06-13,2021-12-31,2435.62,Standard,Non-Zero Income,1662,Active
10541,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,32931.0,Married,Star,2018-12-04,2021-12-31,2435.69,Standard,Non-Zero Income,1123,Active
10542,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,32931.0,Married,Star,2017-03-02,2021-12-31,2435.69,Standard,Non-Zero Income,1765,Active
10543,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Bachelor,87462.0,Married,Star,2016-09-09,2021-12-31,2436.01,Standard,Non-Zero Income,1939,Active
10544,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,87462.0,Married,Star,2021-04-25,2021-12-31,2436.01,2021 Promotion,Non-Zero Income,250,Active
10545,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,College,0.0,Married,Star,2016-12-17,2021-12-31,2436.4,Standard,Zero Income,1840,Active
10546,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,College,0.0,Married,Star,2016-01-18,2021-06-26,2436.84,Standard,Zero Income,1986,Inactive
10547,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Married,Star,2020-04-01,2021-12-31,2436.84,Standard,Zero Income,639,Active
10548,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Bachelor,48875.0,Married,Star,2017-02-12,2021-12-31,2436.88,Standard,Non-Zero Income,1783,Active
10549,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,48875.0,Married,Star,2015-05-17,2021-12-31,2436.88,Standard,Non-Zero Income,2420,Active
10550,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,34759.0,Divorced,Star,2017-11-19,2021-12-31,2437.08,Standard,Non-Zero Income,1503,Active
10551,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,38961.0,Divorced,Star,2015-06-21,2021-12-31,2438.53,Standard,Non-Zero Income,2385,Active
10552,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,38961.0,Divorced,Star,2015-06-02,2021-12-31,2438.53,Standard,Non-Zero Income,2404,Active
10553,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,80927.0,Single,Star,2018-06-30,2021-12-31,2438.69,Standard,Non-Zero Income,1280,Active
10554,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,50876.0,Married,Star,2021-08-17,2021-12-31,2439.93,Standard,Non-Zero Income,136,Active
10555,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Bachelor,50876.0,Married,Star,2018-10-26,2021-12-31,2439.93,Standard,Non-Zero Income,1162,Active
10556,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,College,0.0,Married,Star,2018-05-23,2021-12-31,2441.39,Standard,Zero Income,1318,Active
10557,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,College,0.0,Married,Star,2019-04-29,2021-12-31,2441.39,Standard,Zero Income,977,Active
10558,Ontario,London,42.984924,-81.245277,M5B 3E4,Bachelor,75449.0,Divorced,Star,2019-03-05,2021-12-31,2442.2,Standard,Non-Zero Income,1032,Active
10559,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,College,0.0,Single,Star,2019-03-20,2021-12-31,2442.21,Standard,Zero Income,1017,Active
10560,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,College,0.0,Single,Star,2019-08-12,2021-12-31,2442.21,Standard,Zero Income,872,Active
10561,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,College,0.0,Single,Star,2017-01-12,2021-12-31,2442.22,Standard,Zero Income,1814,Active
10562,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Single,Star,2020-02-01,2021-12-31,2442.22,Standard,Zero Income,699,Active
10563,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,57963.0,Divorced,Star,2016-10-12,2021-12-31,2442.42,Standard,Non-Zero Income,1906,Active
10564,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,57963.0,Divorced,Star,2018-09-02,2021-12-31,2442.42,Standard,Non-Zero Income,1216,Active
10565,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,92834.0,Married,Star,2020-07-28,2021-12-31,2443.67,Standard,Non-Zero Income,521,Active
10566,Alberta,Banff,51.178398,-115.5708,T4V 1D4,Bachelor,92834.0,Married,Star,2018-01-15,2021-12-31,2443.67,Standard,Non-Zero Income,1446,Active
10567,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,College,0.0,Married,Star,2019-08-22,2021-12-31,2443.93,Standard,Zero Income,862,Active
10568,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Married,Star,2018-08-14,2021-12-31,2443.93,Standard,Zero Income,1235,Active
10569,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,83800.0,Single,Star,2016-01-12,2021-12-31,2444.33,Standard,Non-Zero Income,2180,Active
10570,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,83800.0,Single,Star,2021-05-20,2021-12-31,2444.33,Standard,Non-Zero Income,225,Active
10571,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,College,0.0,Married,Star,2019-03-21,2021-12-31,2444.62,Standard,Zero Income,1016,Active
10572,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,College,0.0,Married,Star,2017-09-26,2021-12-31,2444.62,Standard,Zero Income,1557,Active
10573,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Married,Star,2016-01-23,2021-12-31,2444.74,Standard,Zero Income,2169,Active
10574,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,College,0.0,Married,Star,2020-07-01,2021-03-01,2444.74,Standard,Zero Income,243,Inactive
10575,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,48473.0,Single,Star,2018-07-05,2021-12-31,2444.9,Standard,Non-Zero Income,1275,Active
10576,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,48473.0,Single,Star,2018-02-03,2021-12-31,2444.9,Standard,Non-Zero Income,1427,Active
10577,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Doctor,22732.0,Married,Star,2018-10-11,2021-12-31,2445.84,Standard,Non-Zero Income,1177,Active
10578,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Doctor,22732.0,Married,Star,2016-09-05,2021-12-31,2445.84,Standard,Non-Zero Income,1943,Active
10579,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,82225.0,Divorced,Star,2020-03-13,2021-12-31,2446.66,Standard,Non-Zero Income,658,Active
10580,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,82225.0,Divorced,Star,2015-05-30,2021-12-31,2446.66,Standard,Non-Zero Income,2407,Active
10581,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,44509.0,Married,Star,2016-02-16,2021-12-31,2446.68,Standard,Non-Zero Income,2145,Active
10582,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,High School or Below,29152.0,Divorced,Star,2017-03-11,2021-12-31,2446.91,Standard,Non-Zero Income,1756,Active
10583,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,High School or Below,29152.0,Divorced,Star,2021-06-16,2021-12-31,2446.91,Standard,Non-Zero Income,198,Active
10584,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,84658.0,Single,Star,2021-07-11,2021-10-11,2447.05,Standard,Non-Zero Income,92,Inactive
10585,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,84658.0,Single,Star,2017-11-14,2021-12-31,2447.05,Standard,Non-Zero Income,1508,Active
10586,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,College,0.0,Married,Star,2021-03-01,2021-12-31,2448.65,2021 Promotion,Zero Income,305,Active
10587,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,College,0.0,Married,Star,2017-04-05,2021-12-31,2448.65,Standard,Zero Income,1731,Active
10588,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,40658.0,Married,Star,2021-01-26,2021-12-31,2448.77,Standard,Non-Zero Income,339,Active
10589,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,40658.0,Married,Star,2020-06-14,2021-12-31,2448.77,Standard,Non-Zero Income,565,Active
10590,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,Bachelor,87802.0,Married,Star,2018-10-21,2021-12-31,2448.81,Standard,Non-Zero Income,1167,Active
10591,Quebec,Montreal,45.50169,-73.567253,H3T 8L4,Bachelor,87802.0,Married,Star,2020-01-20,2021-12-31,2448.81,Standard,Non-Zero Income,711,Active
10592,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,College,0.0,Single,Star,2019-07-27,2020-03-27,2448.86,Standard,Zero Income,244,Inactive
10593,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,College,0.0,Single,Star,2019-06-23,2021-12-31,2448.86,Standard,Zero Income,922,Active
10594,Ontario,London,42.984924,-81.245277,M5B 3E4,High School or Below,20567.0,Married,Star,2018-10-02,2021-12-31,2449.13,Standard,Non-Zero Income,1186,Active
10595,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,47122.0,Single,Star,2016-02-11,2021-12-31,2449.32,Standard,Non-Zero Income,2150,Active
10596,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,47122.0,Single,Star,2019-10-23,2021-12-31,2449.32,Standard,Non-Zero Income,800,Active
10597,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,College,0.0,Single,Star,2018-09-01,2021-12-31,2449.58,Standard,Zero Income,1217,Active
10598,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,44662.0,Single,Star,2016-01-05,2021-12-31,2449.79,Standard,Non-Zero Income,2187,Active
10599,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,College,0.0,Single,Star,2021-05-18,2019-01-18,2450.19,Standard,Zero Income,-851,Inactive
10600,Alberta,Banff,51.178398,-115.5708,T4V 1D4,College,0.0,Single,Star,2015-12-22,2021-12-31,2450.19,Standard,Zero Income,2201,Active
10601,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,61883.0,Divorced,Star,2021-04-01,2021-12-31,2450.63,2021 Promotion,Non-Zero Income,274,Active
10602,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,61883.0,Divorced,Star,2016-03-03,2021-12-31,2450.63,Standard,Non-Zero Income,2129,Active
10603,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Bachelor,82695.0,Divorced,Star,2017-06-08,2021-12-31,2450.88,Standard,Non-Zero Income,1667,Active
10604,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,82695.0,Divorced,Star,2017-07-20,2018-08-10,2450.88,Standard,Non-Zero Income,386,Inactive
10605,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Bachelor,48791.0,Married,Star,2019-08-24,2021-12-31,2451.54,Standard,Non-Zero Income,860,Active
10606,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Bachelor,48791.0,Married,Star,2018-11-11,2021-12-31,2451.54,Standard,Non-Zero Income,1146,Active
10607,Alberta,Banff,51.178398,-115.5708,T4V 1D4,High School or Below,26840.0,Married,Star,2017-08-08,2021-12-31,2451.75,Standard,Non-Zero Income,1606,Active
10608,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,High School or Below,26840.0,Married,Star,2018-09-02,2021-12-31,2451.75,Standard,Non-Zero Income,1216,Active
10609,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,65828.0,Divorced,Star,2017-03-26,2021-12-31,2451.99,Standard,Non-Zero Income,1741,Active
10610,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,65828.0,Divorced,Star,2019-11-27,2021-12-31,2451.99,Standard,Non-Zero Income,765,Active
10611,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,30216.0,Divorced,Star,2015-10-24,2021-12-31,2452.06,Standard,Non-Zero Income,2260,Active
10612,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,30216.0,Divorced,Star,2018-11-24,2021-12-31,2452.06,Standard,Non-Zero Income,1133,Active
10613,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,College,0.0,Single,Star,2016-04-12,2017-02-09,2452.36,Standard,Zero Income,303,Inactive
10615,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Bachelor,51085.0,Married,Star,2016-11-30,2021-03-14,2452.49,Standard,Non-Zero Income,1565,Inactive
10616,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,51085.0,Married,Star,2020-11-27,2021-12-31,2452.49,Standard,Non-Zero Income,399,Active
10617,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,32764.0,Married,Star,2015-05-30,2021-12-31,2452.73,Standard,Non-Zero Income,2407,Active
10618,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,32764.0,Married,Star,2017-08-15,2019-08-15,2452.73,Standard,Non-Zero Income,730,Inactive
10619,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,52785.0,Married,Star,2019-04-14,2021-12-31,2452.74,Standard,Non-Zero Income,992,Active
10620,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,52785.0,Married,Star,2021-04-14,2021-12-31,2452.74,2021 Promotion,Non-Zero Income,261,Active
10621,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,79898.0,Married,Star,2017-09-10,2021-12-31,2452.98,Standard,Non-Zero Income,1573,Active
10622,Alberta,Banff,51.178398,-115.5708,T4V 1D4,Bachelor,79898.0,Married,Star,2021-06-24,2021-12-31,2452.98,Standard,Non-Zero Income,190,Active
10623,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,College,0.0,Married,Star,2020-11-17,2021-12-31,2453.34,Standard,Zero Income,409,Active
10624,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,College,0.0,Married,Star,2019-10-04,2021-12-31,2453.34,Standard,Zero Income,819,Active
10625,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,83772.0,Divorced,Star,2021-03-21,2021-12-31,2453.41,2021 Promotion,Non-Zero Income,285,Active
10627,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,High School or Below,29735.0,Single,Star,2020-12-09,2021-12-31,2453.57,Standard,Non-Zero Income,387,Active
10628,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,High School or Below,29735.0,Single,Star,2019-03-30,2021-12-31,2453.57,Standard,Non-Zero Income,1007,Active
10629,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,High School or Below,29735.0,Single,Star,2021-09-28,2021-12-31,2453.57,Standard,Non-Zero Income,94,Active
10630,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,High School or Below,29735.0,Single,Star,2016-05-22,2017-09-01,2453.57,Standard,Non-Zero Income,467,Inactive
10631,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,High School or Below,29735.0,Single,Star,2020-07-06,2021-12-31,2453.57,Standard,Non-Zero Income,543,Active
10632,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,High School or Below,29735.0,Single,Star,2020-02-12,2021-12-31,2453.57,Standard,Non-Zero Income,688,Active
10633,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,High School or Below,29735.0,Single,Star,2018-02-21,2021-12-31,2453.57,Standard,Non-Zero Income,1409,Active
10634,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,High School or Below,29735.0,Single,Star,2015-06-17,2021-12-31,2453.57,Standard,Non-Zero Income,2389,Active
10635,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,High School or Below,29735.0,Single,Star,2017-08-03,2021-12-31,2453.57,Standard,Non-Zero Income,1611,Active
10636,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,High School or Below,29735.0,Single,Star,2020-12-07,2021-12-31,2453.57,Standard,Non-Zero Income,389,Active
10637,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,High School or Below,29735.0,Single,Star,2018-03-12,2021-12-31,2453.57,Standard,Non-Zero Income,1390,Active
10638,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,Bachelor,74624.0,Married,Star,2020-12-16,2021-12-31,2454.36,Standard,Non-Zero Income,380,Active
10639,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Bachelor,74624.0,Married,Star,2016-11-12,2021-12-31,2454.36,Standard,Non-Zero Income,1875,Active
10640,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,23158.0,Married,Star,2018-09-04,2021-12-31,2454.58,Standard,Non-Zero Income,1214,Active
10642,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,College,0.0,Single,Star,2020-02-27,2021-12-31,2454.59,Standard,Zero Income,673,Active
10643,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Single,Star,2019-09-07,2021-12-31,2454.59,Standard,Zero Income,846,Active
10644,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,College,0.0,Single,Star,2021-10-20,2021-12-31,2456.82,Standard,Zero Income,72,Active
10645,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,50979.0,Married,Star,2017-06-12,2021-12-31,2456.82,Standard,Non-Zero Income,1663,Active
10646,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,College,0.0,Single,Star,2018-12-01,2021-12-31,2456.82,Standard,Zero Income,1126,Active
10647,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,50979.0,Married,Star,2019-06-27,2021-12-31,2456.82,Standard,Non-Zero Income,918,Active
10648,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Bachelor,29486.0,Married,Star,2020-04-26,2021-12-31,2457.44,Standard,Non-Zero Income,614,Active
10649,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,Bachelor,29486.0,Married,Star,2015-04-23,2021-12-31,2457.44,Standard,Non-Zero Income,2444,Active
10650,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,52926.0,Married,Star,2015-10-18,2021-12-31,2457.58,Standard,Non-Zero Income,2266,Active
10651,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,52926.0,Married,Star,2021-04-26,2021-12-26,2457.58,2021 Promotion,Non-Zero Income,244,Inactive
10652,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,57564.0,Married,Star,2021-07-13,2021-12-31,2458.45,Standard,Non-Zero Income,171,Active
10653,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,57564.0,Married,Star,2016-03-14,2021-12-31,2458.45,Standard,Non-Zero Income,2118,Active
10654,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Single,Star,2018-11-14,2021-12-31,2458.56,Standard,Zero Income,1143,Active
10655,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,College,0.0,Single,Star,2021-08-13,2021-12-31,2458.56,Standard,Zero Income,140,Active
10656,Manitoba,Winnipeg,49.895138,-97.138374,R3R 3T4,College,0.0,Single,Star,2018-05-01,2019-01-01,2458.75,Standard,Zero Income,245,Inactive
10657,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,College,0.0,Single,Star,2021-02-28,2021-12-31,2458.75,2021 Promotion,Zero Income,306,Active
10658,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,21190.0,Married,Star,2017-07-04,2021-12-31,2459.17,Standard,Non-Zero Income,1641,Active
10659,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Bachelor,21190.0,Married,Star,2019-09-21,2020-05-21,2459.17,Standard,Non-Zero Income,243,Inactive
10660,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Bachelor,69241.0,Married,Star,2021-03-21,2021-12-31,2460.17,2021 Promotion,Non-Zero Income,285,Active
10661,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,College,0.0,Married,Star,2018-05-17,2021-12-31,2460.67,Standard,Zero Income,1324,Active
10662,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Married,Star,2017-12-30,2021-12-31,2460.67,Standard,Zero Income,1462,Active
10663,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,High School or Below,12222.0,Married,Star,2019-12-03,2021-12-31,2461.8,Standard,Non-Zero Income,759,Active
10664,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,High School or Below,12222.0,Married,Star,2020-11-19,2021-12-31,2461.8,Standard,Non-Zero Income,407,Active
10665,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,College,0.0,Divorced,Star,2016-01-04,2021-12-31,2462.86,Standard,Zero Income,2188,Active
10666,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,College,0.0,Divorced,Star,2020-09-09,2021-12-31,2462.86,Standard,Zero Income,478,Active
10667,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Bachelor,99144.0,Married,Star,2019-11-22,2021-12-31,2463.24,Standard,Non-Zero Income,770,Active
10668,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,Bachelor,99144.0,Married,Star,2020-03-22,2021-12-31,2463.24,Standard,Non-Zero Income,649,Active
10669,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,72834.0,Divorced,Star,2015-06-04,2021-12-31,2464.24,Standard,Non-Zero Income,2402,Active
10670,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,72834.0,Divorced,Star,2017-10-30,2017-12-17,2464.24,Standard,Non-Zero Income,48,Inactive
10671,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,40982.0,Married,Star,2020-03-25,2021-12-31,2464.51,Standard,Non-Zero Income,646,Active
10672,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,40982.0,Married,Star,2019-03-06,2021-12-31,2464.51,Standard,Non-Zero Income,1031,Active
10673,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Bachelor,31056.0,Divorced,Star,2017-10-12,2021-12-31,2464.71,Standard,Non-Zero Income,1541,Active
10674,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Bachelor,31056.0,Divorced,Star,2020-01-08,2021-12-31,2464.71,Standard,Non-Zero Income,723,Active
10675,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,64997.0,Single,Star,2020-02-05,2021-12-31,2465.44,Standard,Non-Zero Income,695,Active
10676,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Bachelor,64997.0,Single,Star,2020-01-25,2021-12-31,2465.44,Standard,Non-Zero Income,706,Active
10677,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,51641.0,Single,Star,2015-10-29,2021-12-31,2465.62,Standard,Non-Zero Income,2255,Active
10678,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,51641.0,Single,Star,2017-05-18,2021-12-31,2465.62,Standard,Non-Zero Income,1688,Active
10679,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,44855.0,Married,Star,2017-03-21,2021-12-31,2466.38,Standard,Non-Zero Income,1746,Active
